alpha,alpha3,batch_size,critic1_error,critic2_error,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.9622407,1.0,256,1737.3435,1641.8981,0.0,-0.6742302,117.0,0.0,-2268.301601611117,1.0,9.968866666666668e-05,0.00029906599999999996,0.00029906599999999996,3.7135997e-05,151.87784,-1,0.005,2048,0.0
0.9562794,,,2571.2122,2528.336,0.6281805199871342,-0.8355757,290.3,59.44530257524984,883.1845718502882,1.0145311,9.935533333333333e-05,0.00029806599999999993,0.00029806599999999993,0.00511226,203.44168,,,4096,77.5
0.9592983,,,3916.8887,3914.0574,1.176016054283704,-1.0154519,457.3,112.33984371813816,4156.057602402872,1.0741142,9.9022e-05,0.00029706599999999996,0.00029706599999999996,0.07991848,233.59082,,,6144,163.2
0.98840904,,,4876.2256,4878.294,1.1161814948333226,-1.1434419,493.9,112.05529339297102,4622.768888231724,1.1808213,9.869883333333334e-05,0.0002960965,0.0002960965,0.28835288,208.42392,,,8192,177.1
1.0426085,,,4713.069,4695.8926,0.7897762955767115,-1.1474917,493.9,88.41459781219942,5704.820640482778,1.3034971,9.83655e-05,0.00029509649999999996,0.00029509649999999996,0.80456877,123.59015,,,10240,211.7
1.098826,,,3814.8794,3788.4812,0.539909062943025,-1.0791067,500.0,66.01181428260254,6340.778151474818,1.4186984,9.803216666666667e-05,0.0002940965,0.0002940965,0.8664166,21.928007,,,12288,194.6
1.1415942,,,3084.5093,3076.0244,0.19455294073969626,-1.0166981,500.0,22.44260313884757,5220.104851999756,1.5532402,9.76155e-05,0.0002928465,0.0002928465,0.588316,-105.08464,,,14336,119.3
1.1454939,,,2717.9082,2696.8154,0.3703338603766082,-0.9840911,500.0,39.649020964638815,5727.989880574792,1.67254,9.728216666666667e-05,0.00029184649999999996,0.00029184649999999996,1.1054982,-196.73596,,,16384,167.9
1.1278393,,,2557.187,2524.7375,0.5369777149543872,-0.9669355,500.0,60.86825999527158,6908.9170913148455,1.8167595,9.694883333333334e-05,0.00029084649999999994,0.00029084649999999994,1.1113997,-290.48932,,,18432,233.9
1.0858867,,,2313.3152,2287.086,0.7879764729934938,-0.9492687,500.0,105.10824845102772,6890.29714709805,1.9800419,9.66155e-05,0.00028984649999999997,0.00028984649999999997,1.0531405,-374.46527,,,20480,263.0
1.0248822,,,2857.85,2812.587,0.8243167965355116,-0.9332205,500.0,108.01901439211547,6831.686040164763,2.1763303,9.628216666666667e-05,0.0002888465,0.0002888465,1.7658446,-445.6456,,,22528,262.7
0.9585618,,,2787.9255,2732.17,0.8507707480617397,-0.93452626,500.0,106.69328539438966,7054.483948400378,2.408639,9.594883333333334e-05,0.0002878465,0.0002878465,1.5342976,-510.7316,,,24576,274.6
0.89887905,,,2827.86,2765.8782,0.4926649382008447,-0.93081176,500.0,57.67652576339607,5514.056647602742,2.6722932,9.56155e-05,0.00028684649999999995,0.00028684649999999995,2.184991,-565.0003,,,26624,197.3
0.8408805,,,2173.364,2133.1301,0.30278550687524614,-0.9282547,500.0,31.718953402332982,4886.385619138505,2.9504924,9.528216666666667e-05,0.0002858465,0.0002858465,1.9365381,-614.88086,,,28672,162.3
0.80085087,,,2421.5571,2389.6401,0.2610662803984396,-0.95922995,500.0,30.869276623393983,5811.007719730077,3.1113899,9.494883333333334e-05,0.0002848465,0.0002848465,1.4928241,-663.3117,,,30720,237.5
0.76429826,,,2167.1233,2135.8735,0.22456101311074925,-0.9017767,451.3,29.121716021282406,5088.758237244451,3.1227899,9.461333333333334e-05,0.00028384,0.00028384,0.91920453,-707.1569,,,32768,243.3
0.7206189,,,2238.467,2210.9526,0.3992746421306639,-0.817533,451.3,51.38247343117886,5436.850608078639,3.154101,9.428e-05,0.00028283999999999997,0.00028283999999999997,0.5953967,-739.3582,,,34816,260.2
0.6525253,,,2721.1274,2689.622,0.5243283479039528,-0.84363925,500.0,71.83126622589997,6250.060224459741,3.4019904,9.386333333333334e-05,0.00028158999999999997,0.00028158999999999997,0.8537551,-776.8085,,,36864,306.5
0.60632163,,,2301.184,2278.5215,0.8229102589331194,-0.86155397,500.0,110.19393289441334,6009.794485521894,3.7399929,9.353000000000001e-05,0.00028059,0.00028059,1.0464575,-814.59467,,,38912,315.1
0.56900626,,,2270.2246,2251.185,1.0594364967828462,-0.89709455,500.0,128.26435585807434,6305.855527778023,4.159213,9.319666666666666e-05,0.00027958999999999997,0.00027958999999999997,1.1885284,-847.7162,,,40960,312.1
