alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.96866834,1.0,256,2136.4792,2176.036,nan,0.0,-0.956987,88.8,0.0,-3127.9058558579372,1.0,9.970866666666667e-05,0.000299126,0.000299126,0.0001214255,161.10283,-1,0.005,2048,9.0
0.96660864,,,2878.6235,2890.1157,nan,0.0,-0.9783103,236.5,0.0,-1306.0034580311094,1.0,9.939583333333335e-05,0.0002981875,0.0002981875,8.8690125e-05,210.45377,,,4096,0.0
0.99045706,,,5269.64,5203.474,nan,0.0,-1.0991265,437.8,0.0,1764.2146325476085,1.0,9.898283333333334e-05,0.00029694849999999996,0.00029694849999999996,6.884897e-05,252.25638,,,6144,0.0
1.041652,,,6368.3726,6242.35,nan,0.0,-1.1694913,497.8,0.0,2766.4194720197293,1.0,9.86495e-05,0.0002959485,0.0002959485,5.4461183e-05,255.93079,,,8192,0.0
1.1159387,,,5823.417,5755.5557,nan,0.0,-1.140133,497.8,0.0,568.8927367674504,1.0,9.831616666666667e-05,0.00029494849999999996,0.00029494849999999996,4.295483e-05,222.23047,,,10240,0.0
1.1897264,,,5168.998,5151.0225,nan,0.0,-1.1125462,500.0,0.0,2283.199647188668,1.0,9.798283333333334e-05,0.00029394849999999994,0.00029394849999999994,4.4710265e-05,169.16357,,,12288,0.0
1.2756664,,,3934.623,3930.7505,nan,0.0,-1.1010664,500.0,0.0,3470.9508231564278,1.0,9.764950000000001e-05,0.00029294849999999997,0.00029294849999999997,6.2571926e-05,92.535194,,,14336,0.0
1.3717961,,,3126.3289,3110.7063,nan,0.0,-1.1201913,500.0,0.0,5718.895654126602,1.0,9.731616666666668e-05,0.0002919485,0.0002919485,6.310675e-05,1.2795494,,,16384,0.0
1.4736588,,,2387.2578,2377.3298,nan,0.0,-1.0806519,500.0,0.0,5835.901014156144,1.0,9.698283333333333e-05,0.0002909485,0.0002909485,7.078923e-05,-85.61409,,,18432,0.0
1.5475823,,,1698.5277,1692.2354,nan,0.0,-1.0307152,500.0,0.0,5447.95631525326,1.0,9.664950000000001e-05,0.00028994849999999995,0.00028994849999999995,6.616092e-05,-164.76593,,,20480,0.0
1.5503963,,,1303.514,1283.2217,nan,0.0,-0.9755703,500.0,0.0,4394.830282301617,1.0,9.631616666666668e-05,0.0002889485,0.0002889485,5.2683852e-05,-225.42969,,,22528,0.0
1.468263,,,1040.6257,1033.5161,nan,0.0,-0.9100773,500.0,0.0,2458.0835404206223,1.0,9.598283333333333e-05,0.00028794849999999996,0.00028794849999999996,9.5895746e-05,-267.29645,,,24576,0.0
1.273368,,,1098.1854,1108.768,nan,0.0,-0.8460512,449.0,0.0,-1381.9394076801477,1.0,9.556783333333333e-05,0.0002867035,0.0002867035,9.62733e-05,-291.25687,,,26624,0.0
1.1609422,,,1394.2336,1390.2104,nan,0.0,-0.8777202,385.4,0.0,-2539.317375834821,1.0,9.525716666666667e-05,0.0002857715,0.0002857715,8.550122e-05,-294.7536,,,28672,0.0
1.0819442,,,1239.3787,1236.2471,nan,0.0,-0.9143933,365.3,0.0,16.681980171339728,0.9788518,9.488416666666667e-05,0.0002846525,0.0002846525,0.00047511546,-310.12454,,,30720,65.0
1.0343864,,,1188.8408,1201.5549,1.1813575,0.0,-0.93424064,420.8,0.0,3656.796524457306,0.94069815,9.455583333333333e-05,0.00028366749999999993,0.00028366749999999993,0.0004249841,-324.4265,,,32768,105.2
0.9994401,,,1868.5182,1874.5131,0.9252033,0.0,-0.96652985,483.0,0.0,4259.126621065914,0.8952459,9.42225e-05,0.00028266749999999996,0.00028266749999999996,0.00019557099,-339.06628,,,34816,72.0
0.9727601,,,2177.6855,2186.1045,0.44518295,0.0,-0.97271603,495.9,0.0,4537.85988259761,0.84902066,9.389600000000001e-05,0.000281688,0.000281688,9.961981e-05,-360.326,,,36864,89.2
0.9492089,,,2087.101,2113.397,-0.7985989,0.26797599787361104,-0.9901447,445.9,42.20827149187453,3796.7583655586604,0.83637106,9.356266666666666e-05,0.00028068799999999997,0.00028068799999999997,0.011293283,-386.92532,,,38912,117.8
0.95408136,,,1599.7579,1616.8533,-1.7509292,0.5325226762803152,-1.0111997,401.3,53.361426871809485,3939.752880119976,0.8933239,9.322716666666667e-05,0.00027968149999999995,0.00027968149999999995,0.020099076,-420.20206,,,40960,32.6
0.967838,,,1521.8215,1524.9377,-1.7977097,0.2645466784067042,-0.98858577,451.3,11.153155379934958,4082.3209979318403,0.92462957,9.289383333333333e-05,0.0002786815,0.0002786815,0.019184127,-445.04706,,,43008,4.0
0.9320278,,,1609.9124,1611.1357,-1.79372,0.0,-0.90775263,416.4,0.0,2281.743946723595,0.9103711,9.253316666666668e-05,0.00027759949999999996,0.00027759949999999996,0.017564554,-483.48285,,,45056,0.0
