alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.82149637,,,9712.796,9771.768,-30.68107,0.027012904490477507,-1.0350777,932.0,79.75574187378635,6433.83053289314,0.88499737,9.69035e-05,0.00029071049999999997,0.00029071049999999997,0.9941176,256.26868,,,20480,217.5,,,,,,,,,,,,,,,,,,,,,
0.96340954,1.0,256,1946.6877,1779.7546,nan,14.547508984475254,-0.71833515,90.8,2680.242120450036,-2501.006463050552,1.0,9.971550000000001e-05,0.0002991465,0.0002991465,366.7899,157.0378,-1,0.005,2048,0.0
0.96278125,,,2128.4634,1977.0143,nan,14.293262227488546,-0.7617831,291.8,7336.234073105241,240.6461439432465,1.0029267,9.937416666666667e-05,0.00029812249999999996,0.00029812249999999996,437.29297,172.57341,,,4096,184.2
0.9603534,,,3010.7258,2887.6902,nan,10.349313354205929,-0.83641255,488.5,8923.646498284219,1011.9236572098147,1.025801,9.903066666666667e-05,0.000297092,0.000297092,709.492,209.1666,,,6144,184.2
0.9625726,,,3590.5894,3465.3308,nan,8.964714867197625,-0.8787001,690.4,10183.036911219768,2888.4941907895836,1.047919,9.868933333333334e-05,0.00029606799999999997,0.00029606799999999997,856.58575,226.20503,,,8192,184.2
1.0196692,,,5798.5674,5658.548,nan,2.9643650344152417,-1.1028192,891.2,9674.255780555115,3720.8194039016985,1.2038277,9.829416666666668e-05,0.0002948825,0.0002948825,1428.5002,280.4937,,,10240,221.5
1.1995075,,,6101.478,5651.903,-59.381947,0.5084112441471955,-1.347694,337.1,540.4675307691463,206.42181877721913,1.2318555,9.798383333333334e-05,0.0002939515,0.0002939515,1651.891,287.95953,,,12288,1.6
1.4211053,,,6564.143,5859.54,-59.438812,0.0,-1.5508776,189.5,160.34591402462243,-988.0217923049922,1.0163357,9.762416666666667e-05,0.00029287249999999996,0.00029287249999999996,2612.5112,327.39835,,,14336,2.1
1.5518926,,,7835.6357,6813.0186,-57.608875,0.0,-1.5678419,174.9,223.6861830264167,-1062.5186536221966,0.90806276,9.733266666666668e-05,0.00029199799999999996,0.00029199799999999996,4028.3843,354.61124,,,16384,4.6
1.6895453,,,6530.8193,5954.677,-57.362785,0.0,-1.6563761,217.4,80.96067093989316,-1996.8085979196744,0.8268324,9.703233333333334e-05,0.000291097,0.000291097,6348.712,358.95407,,,18432,2.7
1.7220532,,,6413.89,5857.15,-57.128944,0.0,-1.6950716,409.3,33.10416105915973,-159.2796029918237,0.8131698,9.669100000000001e-05,0.000290073,0.000290073,6376.7017,351.65176,,,20480,1.8
1.8263575,,,5768.0176,5256.1904,-57.017628,0.0,-1.6554524,564.5,65.20325500315163,-599.241800923094,0.7734669,9.631416666666667e-05,0.0002889425,0.0002889425,6071.521,329.6861,,,22528,2.7
1.8817418,,,5203.3677,4768.525,-56.731487,0.0,-1.5991515,763.2,65.20325500315163,127.23686899367976,0.75242704,9.597283333333334e-05,0.00028791849999999997,0.00028791849999999997,5303.9155,314.04333,,,24576,2.7
1.938304,,,4772.8564,4365.338,-56.57072,0.0,-1.538003,955.5,65.20325500315163,2397.096271793519,0.72806704,9.56315e-05,0.0002868945,0.0002868945,5043.706,294.46146,,,26624,2.7
1.9838543,,,4259.226,3894.1907,-56.496376,0.0,-1.4627796,1155.6,47.79112996655542,2881.2046693853977,0.70004934,9.529016666666666e-05,0.0002858705,0.0002858705,4896.1343,270.83374,,,28672,2.0
2.0087469,,,3803.394,3499.444,-56.72743,0.0,-1.361546,1347.4,47.79112996655542,5224.667682781963,0.66902924,9.494883333333334e-05,0.0002848465,0.0002848465,4786.511,241.8027,,,30720,2.0
2.0136263,,,3691.9836,3401.5496,-56.70304,0.0,-1.2609851,1536.6,47.79112996655542,5478.723048452068,0.63699013,9.46075e-05,0.0002838225,0.0002838225,4827.5977,211.29065,,,32768,2.0
1.966183,,,2410.2327,2247.9316,-56.70788,0.0,-1.0230734,1679.2,72.64003552374284,8304.322974943163,0.58416754,9.423366666666667e-05,0.000282701,0.000282701,4100.648,143.51799,,,34816,1.8
1.919327,,,2030.7947,1903.8844,-56.711437,0.0,-0.91685265,1679.2,72.64003552374284,8057.944046166241,0.5654372,9.389233333333334e-05,0.000281677,0.000281677,3774.556,109.72097,,,36864,1.8
1.850189,,,1718.291,1607.5382,-56.705566,0.0,-0.85519564,1679.2,72.64003552374284,11439.809881210804,0.555591,9.3551e-05,0.00028065299999999996,0.00028065299999999996,3602.9126,74.018135,,,38912,1.8
