alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.92302716,0.5,5.235906256502249,256,78.42069,74.53917,-0.23007123,11.5,0.0,60.21292194977586,9.932066666666667e-05,0.000297962,0.000297962,3.8631997,1.0,3.797131,-1,0.005,2048
0.84522474,,6.365013223153909,,86.31742,82.293564,-0.12897094,13.5,0.0,85.92767851257777,9.863566666666667e-05,0.000295907,0.000295907,0.80486506,1.0,5.219642,,,4096
0.76521176,,4.762889763135395,,87.42816,82.87504,0.0021982417,16.8,0.0,80.01654802067465,9.7961e-05,0.000293883,0.000293883,0.1677471,1.0,5.187785,,,6144
0.68722785,,7.004875808726802,,85.45631,81.076584,0.10648581,12.4,0.0,86.86046002821234,9.727700000000001e-05,0.000291831,0.000291831,0.05261693,1.0,5.1746373,,,8192
0.6188232,,5.456317750813624,,88.47386,84.26235,0.121842965,15.8,0.0,86.20982046285526,9.658933333333334e-05,0.000289768,0.000289768,0.02399828,1.0,5.1804914,,,10240
0.5573913,,6.833341341076947,,80.06217,75.564804,0.20954251,13.7,0.0,93.61677637275417,9.590666666666667e-05,0.00028771999999999994,0.00028771999999999994,0.009695995,1.0,4.926675,,,12288
0.503826,,7.919513432192826,,74.48494,70.36921,0.30146423,12.0,0.0,95.03416118631391,9.522766666666667e-05,0.00028568299999999995,0.00028568299999999995,0.0067575676,1.0,4.566726,,,14336
0.45623016,,7.879426293414787,,84.87761,80.494675,0.26978374,13.0,0.0,102.43254181439224,9.454066666666667e-05,0.000283622,0.000283622,0.006628444,1.0,4.966649,,,16384
0.41363245,,6.004576422066128,,84.79232,80.39435,0.2585988,15.0,0.0,90.06864633099192,9.386e-05,0.00028157999999999997,0.00028157999999999997,0.005492375,1.0,4.8917913,,,18432
0.37534896,,6.176051118704322,,81.87065,77.69258,0.28189468,13.9,0.0,85.84711054999008,9.317466666666668e-05,0.000279524,0.000279524,0.0035437234,1.0,4.7655683,,,20480
0.34103885,,6.993786242736387,,75.71212,71.69511,0.31985924,14.2,0.0,99.31176464685669,9.249366666666667e-05,0.00027748099999999994,0.00027748099999999994,0.0030264151,1.0,4.649732,,,22528
0.3108821,,5.78671274960532,,76.12581,71.58205,0.32896128,18.5,0.0,107.05418586769841,9.182533333333334e-05,0.000275476,0.000275476,0.0039220504,1.0,4.7380605,,,24576
0.2825578,,5.171554824862392,,84.414116,80.17177,0.30659562,23.6,0.0,122.04869386675246,9.112933333333334e-05,0.00027338799999999995,0.00027338799999999995,0.003026655,1.0,4.951572,,,26624
0.25693125,,6.300167249130451,,80.6913,76.389435,0.27497908,17.5,0.0,110.25292685978289,9.044433333333334e-05,0.000271333,0.000271333,0.0031340525,1.0,4.8728275,,,28672
0.23474209,,4.374027091416311,,77.36055,73.04332,0.3551547,30.8,0.0,134.72003441562237,8.9765e-05,0.000269295,0.000269295,0.0036386836,1.0,4.7175493,,,30720
